"","id","condcode","item","sentencetype","predictability","ROI","laterality","anteriority","window","amplitude","target","target.cloze","target.len","target.lg10WF"
"13448","3_67","3","67","new","high","7","left","posterior","t300_500",1.220572,"played",0.469,6,3.46
"13480","3_68","3","68","new","high","7","left","posterior","t300_500",2.81175,"dated",0.1,5,2.78
"13503","3_68","3","68","new","high","8","midline","posterior","t300_500",3.8784275,"dated",0.1,5,2.78
"13532","3_68","3","68","new","high","9","right","posterior","t300_500",3.8345275,"dated",0.1,5,2.78
"13552","3_69","3","69","new","high","8","midline","posterior","t300_500",-0.5875,"disqualified",0.125,12,1.93
"13592","3_69","3","69","new","high","7","left","posterior","t300_500",-0.257139,"disqualified",0.125,12,1.93
"13601","3_69","3","69","new","high","9","right","posterior","t300_500",-0.659372,"disqualified",0.125,12,1.93
"13615","3_70","3","70","new","high","8","midline","posterior","t300_500",3.561852,"beaten",0.233,6,2.79
"13677","3_70","3","70","new","high","9","right","posterior","t300_500",1.75667,"beaten",0.233,6,2.79
"13679","3_70","3","70","new","high","7","left","posterior","t300_500",3.76824,"beaten",0.233,6,2.79
"13689","3_71","3","71","new","high","8","midline","posterior","t300_500",-0.2957814,"helped",0.133,6,3.38
"13742","3_71","3","71","new","high","7","left","posterior","t300_500",-1.375915,"helped",0.133,6,3.38
"13751","3_71","3","71","new","high","9","right","posterior","t300_500",0.689147,"helped",0.133,6,3.38
"13780","3_72","3","72","new","high","8","midline","posterior","t300_500",4.29855833333333,"caught",0.1,6,3.68
"13795","3_72","3","72","new","high","7","left","posterior","t300_500",3.02885333333333,"caught",0.1,6,3.68
"13805","3_72","3","72","new","high","9","right","posterior","t300_500",3.41226666666667,"caught",0.1,6,3.68
"13843","3_73","3","73","new","high","8","midline","posterior","t300_500",4.78882666666667,"fired",0.667,5,3.5
"13865","3_73","3","73","new","high","7","left","posterior","t300_500",6.41837583333333,"fired",0.667,5,3.5
"13890","3_73","3","73","new","high","9","right","posterior","t300_500",4.6821625,"fired",0.667,5,3.5
"13898","3_74","3","74","new","high","8","midline","posterior","t300_500",2.91396583333333,"hired",0.133,5,3.23
"13929","3_74","3","74","new","high","9","right","posterior","t300_500",3.29064583333333,"hired",0.133,5,3.23
"13946","3_74","3","74","new","high","7","left","posterior","t300_500",2.5799,"hired",0.133,5,3.23
"13995","3_75","3","75","new","high","8","midline","posterior","t300_500",-5.150443,"fired",0.267,5,3.5
"14024","3_75","3","75","new","high","7","left","posterior","t300_500",-3.759498,"fired",0.267,5,3.5
"14033","3_75","3","75","new","high","9","right","posterior","t300_500",-4.401918,"fired",0.267,5,3.5
"14048","3_76","3","76","new","high","8","midline","posterior","t300_500",2.022367,"hired",0.226,5,3.23
"14091","3_76","3","76","new","high","7","left","posterior","t300_500",2.788113,"hired",0.226,5,3.23
"14104","3_76","3","76","new","high","9","right","posterior","t300_500",0.955337,"hired",0.226,5,3.23
"14119","3_77","3","77","new","high","8","midline","posterior","t300_500",0.870499999999999,"defeated",0.133,8,2.45
"14127","3_77","3","77","new","high","7","left","posterior","t300_500",2.7194175,"defeated",0.133,8,2.45
"14172","3_77","3","77","new","high","9","right","posterior","t300_500",-0.461094166666667,"defeated",0.133,8,2.45
"14190","3_78","3","78","new","high","7","left","posterior","t300_500",8.81742916666667,"defeated",0.125,8,2.45
"14216","3_78","3","78","new","high","9","right","posterior","t300_500",7.253275,"defeated",0.125,8,2.45
"14227","3_78","3","78","new","high","8","midline","posterior","t300_500",8.46111666666667,"defeated",0.125,8,2.45
"14274","3_79","3","79","new","high","7","left","posterior","t300_500",0.599158,"fired",0.1,5,3.5
"14281","3_79","3","79","new","high","8","midline","posterior","t300_500",-0.8907784,"fired",0.1,5,3.5
"14299","3_79","3","79","new","high","9","right","posterior","t300_500",-1.046995,"fired",0.1,5,3.5
"14344","3_80","3","80","new","high","8","midline","posterior","t300_500",-2.0144,"cured",0.25,5,2.49
"14357","3_80","3","80","new","high","7","left","posterior","t300_500",-0.558184166666667,"cured",0.25,5,2.49
"14370","3_80","3","80","new","high","9","right","posterior","t300_500",-1.05018833333333,"cured",0.25,5,2.49
"14410","3_81","3","81","new","high","7","left","posterior","t300_500",5.95035,"hidden",0.094,6,3.04
"14431","3_81","3","81","new","high","8","midline","posterior","t300_500",3.760125,"hidden",0.094,6,3.04
"14433","3_81","3","81","new","high","9","right","posterior","t300_500",2.362925,"hidden",0.094,6,3.04
"14474","3_82","3","82","new","high","8","midline","posterior","t300_500",1.078621,"scared",0.333,6,3.83
"14495","3_82","3","82","new","high","9","right","posterior","t300_500",2.280986,"scared",0.333,6,3.83
"14496","3_82","3","82","new","high","7","left","posterior","t300_500",1.6877134,"scared",0.333,6,3.83
"14562","3_83","3","83","new","high","9","right","posterior","t300_500",0.8102075,"used",0.29,4,4.24
"14568","3_83","3","83","new","high","8","midline","posterior","t300_500",1.4405343,"used",0.29,4,4.24
"14603","3_83","3","83","new","high","7","left","posterior","t300_500",1.2281313,"used",0.29,4,4.24
"14619","3_84","3","84","new","high","9","right","posterior","t300_500",-7.25579125,"chosen",0.156,6,2.97
"14631","3_84","3","84","new","high","8","midline","posterior","t300_500",-4.87432875,"chosen",0.156,6,2.97
"14666","3_84","3","84","new","high","7","left","posterior","t300_500",-0.58793875,"chosen",0.156,6,2.97
"14690","3_85","3","85","new","high","9","right","posterior","t300_500",0.0478133333333339,"adopted",0.633,7,2.63
"14702","3_85","3","85","new","high","8","midline","posterior","t300_500",1.69639583333333,"adopted",0.633,7,2.63
"14747","3_85","3","85","new","high","7","left","posterior","t300_500",3.24845333333333,"adopted",0.633,7,2.63
"14776","3_86","3","86","new","high","8","midline","posterior","t300_500",4.028725,"dated",0.419,5,2.78
"14810","3_86","3","86","new","high","9","right","posterior","t300_500",5.31344166666667,"dated",0.419,5,2.78
"14824","3_86","3","86","new","high","7","left","posterior","t300_500",3.637075,"dated",0.419,5,2.78
"14841","3_87","3","87","new","high","8","midline","posterior","t300_500",4.88497,"imprisoned",0.161,10,2.03
"14858","3_87","3","87","new","high","7","left","posterior","t300_500",4.00811,"imprisoned",0.161,10,2.03
"14902","3_87","3","87","new","high","9","right","posterior","t300_500",5.910917,"imprisoned",0.161,10,2.03
"14940","3_88","3","88","new","high","7","left","posterior","t300_500",0.328241666666667,"married",0.467,7,4.09
"14947","3_88","3","88","new","high","8","midline","posterior","t300_500",-1.3852,"married",0.467,7,4.09
"14970","3_88","3","88","new","high","9","right","posterior","t300_500",-2.82948333333333,"married",0.467,7,4.09
"15025","3_89","3","89","new","high","9","right","posterior","t300_500",2.49987125,"knighted",0.133,8,1.4
"15033","3_89","3","89","new","high","8","midline","posterior","t300_500",3.9330125,"knighted",0.133,8,1.4
"15038","3_89","3","89","new","high","7","left","posterior","t300_500",2.5596025,"knighted",0.133,8,1.4
"15093","3_90","3","90","new","high","9","right","posterior","t300_500",0.930006,"employed",0.133,8,2.32
"15100","3_90","3","90","new","high","8","midline","posterior","t300_500",-0.45157569,"employed",0.133,8,2.32
"15112","3_90","3","90","new","high","7","left","posterior","t300_500",-0.89591,"employed",0.133,8,2.32
"15174","3_91","3","91","new","high","9","right","posterior","t300_500",-2.17528375,"hired",0.129,5,3.23
"15182","3_91","3","91","new","high","8","midline","posterior","t300_500",-1.25483875,"hired",0.129,5,3.23
"15188","3_91","3","91","new","high","7","left","posterior","t300_500",0.4659525,"hired",0.129,5,3.23
"15236","3_92","3","92","new","high","8","midline","posterior","t300_500",-1.11262125,"helped",0.1,6,3.38
"15252","3_92","3","92","new","high","9","right","posterior","t300_500",0.39651375,"helped",0.1,6,3.38
"15264","3_92","3","92","new","high","7","left","posterior","t300_500",-1.46450875,"helped",0.1,6,3.38
"15319","3_93","3","93","new","high","8","midline","posterior","t300_500",8.39522,"forgiven",0.267,8,2.52
"15330","3_93","3","93","new","high","7","left","posterior","t300_500",8.52914,"forgiven",0.267,8,2.52
"15335","3_93","3","93","new","high","9","right","posterior","t300_500",8.81467,"forgiven",0.267,8,2.52
"15355","3_94","3","94","new","high","7","left","posterior","t300_500",6.02869,"replaced",0.258,8,2.63
"15361","3_94","3","94","new","high","8","midline","posterior","t300_500",7.14726,"replaced",0.258,8,2.63
"15381","3_94","3","94","new","high","9","right","posterior","t300_500",6.587783,"replaced",0.258,8,2.63
"15422","3_95","3","95","new","high","7","left","posterior","t300_500",2.08083333333333,"promoted",0.167,8,2.46
"15435","3_95","3","95","new","high","9","right","posterior","t300_500",2.35825,"promoted",0.167,8,2.46
"15441","3_95","3","95","new","high","8","midline","posterior","t300_500",1.342445,"promoted",0.167,8,2.46
"15527","3_96","3","96","new","high","8","midline","posterior","t300_500",-3.02689166666667,"bribed",0.065,6,2
"15536","3_96","3","96","new","high","7","left","posterior","t300_500",-2.12232666666667,"bribed",0.065,6,2
"15546","3_96","3","96","new","high","9","right","posterior","t300_500",-3.62725333333333,"bribed",0.065,6,2
"15581","3_97","3","97","new","high","9","right","posterior","t300_500",0.42407,"converted",0.258,9,2.12
"15602","3_97","3","97","new","high","8","midline","posterior","t300_500",1.19989,"converted",0.258,9,2.12
"15608","3_97","3","97","new","high","7","left","posterior","t300_500",2.632025,"converted",0.258,9,2.12
"15662","3_98","3","98","new","high","8","midline","posterior","t300_500",-0.743531,"blessed",0.133,7,2.85
"15681","3_98","3","98","new","high","7","left","posterior","t300_500",-0.5001619,"blessed",0.133,7,2.85
"15690","3_98","3","98","new","high","9","right","posterior","t300_500",-0.89015,"blessed",0.133,7,2.85
"15708","3_99","3","99","new","high","7","left","posterior","t300_500",-0.4286843,"called",0.2,6,4.24
"15757","3_99","3","99","new","high","8","midline","posterior","t300_500",-0.2954478,"called",0.2,6,4.24
"15768","3_99","3","99","new","high","9","right","posterior","t300_500",-1.814106,"called",0.2,6,4.24
"15802","3_100","3","100","new","high","7","left","posterior","t300_500",-3.76443,"cited",0.3,5,1.59
"15826","3_100","3","100","new","high","8","midline","posterior","t300_500",-2.218269,"cited",0.3,5,1.59
"15830","3_100","3","100","new","high","9","right","posterior","t300_500",-2.43298476,"cited",0.3,5,1.59
"15851","3_101","3","101","new","high","7","left","posterior","t300_500",7.117281,"prayed",0.133,6,2.38
"15872","3_101","3","101","new","high","9","right","posterior","t300_500",6.2482,"prayed",0.133,6,2.38
"15899","3_101","3","101","new","high","8","midline","posterior","t300_500",7.425225,"prayed",0.133,6,2.38
"15915","3_102","3","102","new","high","9","right","posterior","t300_500",7.057285,"targeted",0.133,8,2.05
"15953","3_102","3","102","new","high","7","left","posterior","t300_500",4.796256,"targeted",0.133,8,2.05
"15975","3_102","3","102","new","high","8","midline","posterior","t300_500",7.33339,"targeted",0.133,8,2.05
"16001","3_103","3","103","new","high","9","right","posterior","t300_500",-1.30660083333333,"rewarded",0.097,8,2.18
"16015","3_103","3","103","new","high","8","midline","posterior","t300_500",-0.888391666666666,"rewarded",0.097,8,2.18
"16021","3_103","3","103","new","high","7","left","posterior","t300_500",1.36438833333333,"rewarded",0.097,8,2.18
"16069","3_104","3","104","new","high","9","right","posterior","t300_500",5.32501166666667,"used",0.281,4,4.24
"16084","3_104","3","104","new","high","8","midline","posterior","t300_500",2.89498916666667,"used",0.281,4,4.24
"16122","3_104","3","104","new","high","7","left","posterior","t300_500",1.78113083333333,"used",0.281,4,4.24
"16174","3_105","3","105","new","high","8","midline","posterior","t300_500",6.09424416666667,"promoted",0.2,8,2.46
"16189","3_105","3","105","new","high","7","left","posterior","t300_500",6.11562833333333,"promoted",0.2,8,2.46
"16199","3_105","3","105","new","high","9","right","posterior","t300_500",5.55454333333333,"promoted",0.2,8,2.46
"16253","3_106","3","106","new","high","9","right","posterior","t300_500",2.08298125,"promoted",0.29,8,2.46
"16261","3_106","3","106","new","high","8","midline","posterior","t300_500",2.01715,"promoted",0.29,8,2.46
"16265","3_106","3","106","new","high","7","left","posterior","t300_500",-0.666615,"promoted",0.29,8,2.46
"16322","3_107","3","107","new","high","7","left","posterior","t300_500",0.249066,"hit",0.133,3,4.15
"16333","3_107","3","107","new","high","8","midline","posterior","t300_500",-1.253409,"hit",0.133,3,4.15
"16341","3_107","3","107","new","high","9","right","posterior","t300_500",-0.85419,"hit",0.133,3,4.15
"16363","3_108","3","108","new","high","7","left","posterior","t300_500",3.41183375,"tagged",0.133,6,1.99
"16376","3_108","3","108","new","high","9","right","posterior","t300_500",1.3937125,"tagged",0.133,6,1.99
"16401","3_108","3","108","new","high","8","midline","posterior","t300_500",2.80982,"tagged",0.133,6,1.99
"16418","3_109","3","109","new","high","7","left","posterior","t300_500",6.25488875,"sentenced",0.233,9,2.33
"16425","3_109","3","109","new","high","9","right","posterior","t300_500",5.138275,"sentenced",0.233,9,2.33
"16474","3_109","3","109","new","high","8","midline","posterior","t300_500",5.49393025,"sentenced",0.233,9,2.33
"16503","3_110","3","110","new","high","9","right","posterior","t300_500",2.31993166666667,"struck",0.219,6,2.92
"16545","3_110","3","110","new","high","7","left","posterior","t300_500",7.01631666666667,"struck",0.219,6,2.92
"16548","3_110","3","110","new","high","8","midline","posterior","t300_500",3.95785833333333,"struck",0.219,6,2.92
"16566","3_111","3","111","new","high","9","right","posterior","t300_500",-0.641575,"yelled",0.133,6,2.5
"16619","3_111","3","111","new","high","8","midline","posterior","t300_500",-1.21074125,"yelled",0.133,6,2.5
"16625","3_111","3","111","new","high","7","left","posterior","t300_500",1.2008475,"yelled",0.133,6,2.5
"16657","3_112","3","112","new","high","9","right","posterior","t300_500",0.968188,"recommended",0.194,11,2.44
"16674","3_112","3","112","new","high","8","midline","posterior","t300_500",1.97447,"recommended",0.194,11,2.44
"16678","3_112","3","112","new","high","7","left","posterior","t300_500",1.13184,"recommended",0.194,11,2.44
"16733","3_113","3","113","new","high","7","left","posterior","t300_500",0.8910488,"taught",0.367,6,3.35
"16735","3_113","3","113","new","high","9","right","posterior","t300_500",-0.8855827,"taught",0.367,6,3.35
"16755","3_113","3","113","new","high","8","midline","posterior","t300_500",-0.19048,"taught",0.367,6,3.35
"16784","3_114","3","114","new","high","9","right","posterior","t300_500",-7.00152,"hired",0.344,5,3.23
"16791","3_114","3","114","new","high","7","left","posterior","t300_500",-4.6474601,"hired",0.344,5,3.23
"16842","3_114","3","114","new","high","8","midline","posterior","t300_500",-6.308125,"hired",0.344,5,3.23
"16851","3_115","3","115","new","high","9","right","posterior","t300_500",-2.275,"detained",0.152,8,2.1
"16884","3_115","3","115","new","high","7","left","posterior","t300_500",-2.71230833333333,"detained",0.152,8,2.1
"16912","3_115","3","115","new","high","8","midline","posterior","t300_500",-3.79420833333333,"detained",0.152,8,2.1
"16930","3_116","3","116","new","high","9","right","posterior","t300_500",2.02923,"supported",0.118,9,2.27
"16962","3_116","3","116","new","high","7","left","posterior","t300_500",5.81079,"supported",0.118,9,2.27
"16979","3_116","3","116","new","high","8","midline","posterior","t300_500",4.32962,"supported",0.118,9,2.27
"17003","3_117","3","117","new","high","8","midline","posterior","t300_500",-3.98416666666667,"caught",0.091,6,3.68
"17006","3_117","3","117","new","high","9","right","posterior","t300_500",-2.85990833333333,"caught",0.091,6,3.68
"17037","3_117","3","117","new","high","7","left","posterior","t300_500",-1.3994125,"caught",0.091,6,3.68
"17070","3_118","3","118","new","high","9","right","posterior","t300_500",4.538882,"awarded",0.088,7,2.1
"17097","3_118","3","118","new","high","8","midline","posterior","t300_500",5.758356,"awarded",0.088,7,2.1
"17118","3_118","3","118","new","high","7","left","posterior","t300_500",7.108006,"awarded",0.088,7,2.1
"17140","3_119","3","119","new","high","9","right","posterior","t300_500",-0.705910625,"promoted",0.091,8,2.46
"17160","3_119","3","119","new","high","7","left","posterior","t300_500",0.8620375,"promoted",0.091,8,2.46
"17178","3_119","3","119","new","high","8","midline","posterior","t300_500",0.21930125,"promoted",0.091,8,2.46
"17216","3_120","3","120","new","high","9","right","posterior","t300_500",-1.56894166666667,"cast",0.121,4,3.07
"17224","3_120","3","120","new","high","7","left","posterior","t300_500",-2.41625716666667,"cast",0.121,4,3.07
"17225","3_120","3","120","new","high","8","midline","posterior","t300_500",-2.40345,"cast",0.121,4,3.07
"17286","1_1","1","1","old","high","9","right","posterior","t300_500",-0.23452,"evicted",0.563,7,1.86
"17290","1_1","1","1","old","high","7","left","posterior","t300_500",8.85659,"evicted",0.563,7,1.86
"17344","1_1","1","1","old","high","8","midline","posterior","t300_500",7.35837,"evicted",0.563,7,1.86
"17374","1_2","1","2","old","high","9","right","posterior","t300_500",1.0651958,"hired",0.5,5,3.23
"17384","1_2","1","2","old","high","7","left","posterior","t300_500",2.569383,"hired",0.5,5,3.23
"17416","1_2","1","2","old","high","8","midline","posterior","t300_500",1.878058,"hired",0.5,5,3.23
"17468","1_3","1","3","old","high","9","right","posterior","t300_500",-4.9519375,"captured",0.133,8,2.79
"17474","1_3","1","3","old","high","7","left","posterior","t300_500",-7.21006083333333,"captured",0.133,8,2.79
"17493","1_3","1","3","old","high","8","midline","posterior","t300_500",-8.291115,"captured",0.133,8,2.79
"17539","1_4","1","4","old","high","9","right","posterior","t300_500",6.7859,"promoted",0.129,8,2.46
"17552","1_4","1","4","old","high","7","left","posterior","t300_500",5.51219,"promoted",0.129,8,2.46
"17567","1_4","1","4","old","high","8","midline","posterior","t300_500",6.50302,"promoted",0.129,8,2.46
"17606","1_5","1","5","old","high","9","right","posterior","t300_500",4.862375,"punished",0.3,8,2.72
"17619","1_5","1","5","old","high","7","left","posterior","t300_500",5.9955375,"punished",0.3,8,2.72
"17624","1_5","1","5","old","high","8","midline","posterior","t300_500",5.6320875,"punished",0.3,8,2.72
"17686","1_6","1","6","old","high","7","left","posterior","t300_500",10.01543,"praised",0.156,7,1.94
"17690","1_6","1","6","old","high","9","right","posterior","t300_500",9.26175,"praised",0.156,7,1.94
"17703","1_6","1","6","old","high","8","midline","posterior","t300_500",8.18842,"praised",0.156,7,1.94
"17740","1_7","1","7","old","high","7","left","posterior","t300_500",3.75867083333333,"served",0.067,6,3
"17761","1_7","1","7","old","high","8","midline","posterior","t300_500",3.790975,"served",0.067,6,3
"17783","1_7","1","7","old","high","9","right","posterior","t300_500",3.18313833333333,"served",0.067,6,3
"17834","1_8","1","8","old","high","9","right","posterior","t300_500",2.85889,"yelled",0.194,6,2.5
"17838","1_8","1","8","old","high","8","midline","posterior","t300_500",3.35281,"yelled",0.194,6,2.5
"17849","1_8","1","8","old","high","7","left","posterior","t300_500",4.30372,"yelled",0.194,6,2.5
"17910","1_9","1","9","old","high","8","midline","posterior","t300_500",2.88882,"treated",0.133,7,3.09
"17916","1_9","1","9","old","high","9","right","posterior","t300_500",1.59428,"treated",0.133,7,3.09
"17928","1_9","1","9","old","high","7","left","posterior","t300_500",3.64727,"treated",0.133,7,3.09
"17977","1_10","1","10","old","high","9","right","posterior","t300_500",6.35063875,"recommended",0.438,11,2.44
"17990","1_10","1","10","old","high","8","midline","posterior","t300_500",7.044665,"recommended",0.438,11,2.44
"17997","1_10","1","10","old","high","7","left","posterior","t300_500",7.2935,"recommended",0.438,11,2.44
"18061","1_11","1","11","old","high","8","midline","posterior","t300_500",3.2944754,"adopted",0.1,7,2.63
"18062","1_11","1","11","old","high","7","left","posterior","t300_500",2.38747,"adopted",0.1,7,2.63
"18072","1_11","1","11","old","high","9","right","posterior","t300_500",2.42148,"adopted",0.1,7,2.63
"18114","1_12","1","12","old","high","8","midline","posterior","t300_500",4.20933,"punished",0.065,8,2.72
"18143","1_12","1","12","old","high","9","right","posterior","t300_500",5.570118,"punished",0.065,8,2.72
"18144","1_12","1","12","old","high","7","left","posterior","t300_500",4.59887,"punished",0.065,8,2.72
"18208","1_13","1","13","old","high","7","left","posterior","t300_500",-0.38515,"promoted",0.219,8,2.46
"18213","1_13","1","13","old","high","8","midline","posterior","t300_500",-0.405557,"promoted",0.219,8,2.46
"18214","1_13","1","13","old","high","9","right","posterior","t300_500",0.08550143,"promoted",0.219,8,2.46
"18258","1_14","1","14","old","high","9","right","posterior","t300_500",2.782962,"treated",0.219,7,3.09
"18270","1_14","1","14","old","high","7","left","posterior","t300_500",2.674864,"treated",0.219,7,3.09
"18274","1_14","1","14","old","high","8","midline","posterior","t300_500",3.423955,"treated",0.219,7,3.09
"18315","1_15","1","15","old","high","7","left","posterior","t300_500",6.52196666666667,"hired",0.133,5,3.23
"18348","1_15","1","15","old","high","8","midline","posterior","t300_500",5.39255333333333,"hired",0.133,5,3.23
"18350","1_15","1","15","old","high","9","right","posterior","t300_500",5.00132166666667,"hired",0.133,5,3.23
"18386","1_16","1","16","old","high","7","left","posterior","t300_500",7.30115,"slain",0.531,5,1.97
"18419","1_16","1","16","old","high","8","midline","posterior","t300_500",6.38230166666667,"slain",0.531,5,1.97
"18427","1_16","1","16","old","high","9","right","posterior","t300_500",5.74771666666667,"slain",0.531,5,1.97
"18475","1_17","1","17","old","high","7","left","posterior","t300_500",1.41080583333333,"rescued",0.267,7,2.44
"18480","1_17","1","17","old","high","8","midline","posterior","t300_500",0.874666666666667,"rescued",0.267,7,2.44
"18500","1_17","1","17","old","high","9","right","posterior","t300_500",1.81018666666667,"rescued",0.267,7,2.44
"18549","1_18","1","18","old","high","9","right","posterior","t300_500",1.54668333333333,"fought",0.1,6,3.13
"18552","1_18","1","18","old","high","8","midline","posterior","t300_500",1.92218333333333,"fought",0.1,6,3.13
"18576","1_18","1","18","old","high","7","left","posterior","t300_500",3.83173333333333,"fought",0.1,6,3.13
"18611","1_19","1","19","old","high","8","midline","posterior","t300_500",0.00169083333333336,"tipped",0.161,6,2.39
"18645","1_19","1","19","old","high","7","left","posterior","t300_500",1.55003166666667,"tipped",0.161,6,2.39
"18647","1_19","1","19","old","high","9","right","posterior","t300_500",-0.459674583333333,"tipped",0.161,6,2.39
"18692","1_20","1","20","old","high","8","midline","posterior","t300_500",-0.150176999999999,"sued",0.233,4,2.4
"18713","1_20","1","20","old","high","7","left","posterior","t300_500",-0.3830675,"sued",0.233,4,2.4
"18717","1_20","1","20","old","high","9","right","posterior","t300_500",-0.925858699999999,"sued",0.233,4,2.4
"18745","1_21","1","21","old","high","8","midline","posterior","t300_500",-4.44006875,"promoted",0.188,8,2.46
"18752","1_21","1","21","old","high","7","left","posterior","t300_500",-3.0395825,"promoted",0.188,8,2.46
"18791","1_21","1","21","old","high","9","right","posterior","t300_500",-4.03735475,"promoted",0.188,8,2.46
"18820","1_22","1","22","old","high","7","left","posterior","t300_500",-2.41998,"invited",0.625,7,3.31
"18826","1_22","1","22","old","high","8","midline","posterior","t300_500",-1.93552,"invited",0.625,7,3.31
"18852","1_22","1","22","old","high","9","right","posterior","t300_500",-0.07624,"invited",0.625,7,3.31
"18920","1_23","1","23","old","high","8","midline","posterior","t300_500",3.149339,"fired",0.3,5,3.5
"18924","1_23","1","23","old","high","9","right","posterior","t300_500",4.165123,"fired",0.3,5,3.5
"18925","1_23","1","23","old","high","7","left","posterior","t300_500",3.593146,"fired",0.3,5,3.5
"18975","1_24","1","24","old","high","8","midline","posterior","t300_500",-1.59482,"chosen",0.419,6,2.97
"19005","1_24","1","24","old","high","9","right","posterior","t300_500",-0.92589,"chosen",0.419,6,2.97
"19007","1_24","1","24","old","high","7","left","posterior","t300_500",-0.841245,"chosen",0.419,6,2.97
"19032","1_25","1","25","old","high","8","midline","posterior","t300_500",1.87660125,"caught",0.567,6,3.68
"19045","1_25","1","25","old","high","9","right","posterior","t300_500",2.44046875,"caught",0.567,6,3.68
"19075","1_25","1","25","old","high","7","left","posterior","t300_500",1.3144,"caught",0.567,6,3.68
"19114","1_26","1","26","old","high","8","midline","posterior","t300_500",-4.901875,"used",0.219,4,4.24
"19127","1_26","1","26","old","high","9","right","posterior","t300_500",-4.25796916666667,"used",0.219,4,4.24
"19136","1_26","1","26","old","high","7","left","posterior","t300_500",-3.13535,"used",0.219,4,4.24
"19211","1_27","1","27","old","high","9","right","posterior","t300_500",0.509083,"recruited",0.063,9,2.15
"19218","1_27","1","27","old","high","7","left","posterior","t300_500",-1.262699,"recruited",0.063,9,2.15
"19219","1_27","1","27","old","high","8","midline","posterior","t300_500",0.969886,"recruited",0.063,9,2.15
"19276","1_28","1","28","old","high","8","midline","posterior","t300_500",0.913337,"robbed",0.1,6,2.89
"19279","1_28","1","28","old","high","7","left","posterior","t300_500",2.70763,"robbed",0.1,6,2.89
"19295","1_28","1","28","old","high","9","right","posterior","t300_500",1.93116,"robbed",0.1,6,2.89
"19352","1_29","1","29","old","high","8","midline","posterior","t300_500",-0.115273,"summoned",0.194,8,2.18
"19356","1_29","1","29","old","high","7","left","posterior","t300_500",0.88327,"summoned",0.194,8,2.18
"19365","1_29","1","29","old","high","9","right","posterior","t300_500",-0.991777000000001,"summoned",0.194,8,2.18
"19422","1_30","1","30","old","high","9","right","posterior","t300_500",-0.87292,"used",0.1,4,4.24
"19430","1_30","1","30","old","high","8","midline","posterior","t300_500",-1.809727,"used",0.1,4,4.24
"19439","1_30","1","30","old","high","7","left","posterior","t300_500",-1.05282,"used",0.1,4,4.24
"19495","1_31","1","31","old","high","9","right","posterior","t300_500",-6.662025,"defeated",0.167,8,2.45
"19503","1_31","1","31","old","high","7","left","posterior","t300_500",-4.83915875,"defeated",0.167,8,2.45
"19504","1_31","1","31","old","high","8","midline","posterior","t300_500",-6.6671875,"defeated",0.167,8,2.45
"19566","1_32","1","32","old","high","8","midline","posterior","t300_500",-4.767863,"bribed",0.065,6,2
"19568","1_32","1","32","old","high","9","right","posterior","t300_500",-5.64233,"bribed",0.065,6,2
"19584","1_32","1","32","old","high","7","left","posterior","t300_500",-4.376002,"bribed",0.065,6,2
"19616","1_33","1","33","old","high","9","right","posterior","t300_500",2.99799758333333,"worshipped",0.367,10,2
"19626","1_33","1","33","old","high","8","midline","posterior","t300_500",-0.191183333333333,"worshipped",0.367,10,2
"19654","1_33","1","33","old","high","7","left","posterior","t300_500",-0.723008333333334,"worshipped",0.367,10,2
"19680","1_34","1","34","old","high","8","midline","posterior","t300_500",-3.40616666666667,"eaten",0.419,5,2.97
"19699","1_34","1","34","old","high","7","left","posterior","t300_500",-2.189175,"eaten",0.419,5,2.97
"19710","1_34","1","34","old","high","9","right","posterior","t300_500",-3.32488583333333,"eaten",0.419,5,2.97
"19752","1_35","1","35","old","high","8","midline","posterior","t300_500",5.36879,"married",0.563,7,4.09
"19769","1_35","1","35","old","high","9","right","posterior","t300_500",4.37568,"married",0.563,7,4.09
"19800","1_35","1","35","old","high","7","left","posterior","t300_500",5.84405,"married",0.563,7,4.09
"19841","1_36","1","36","old","high","8","midline","posterior","t300_500",-0.9841865,"invested",0.133,8,2.31
"19855","1_36","1","36","old","high","9","right","posterior","t300_500",-1.2294,"invested",0.133,8,2.31
"19866","1_36","1","36","old","high","7","left","posterior","t300_500",-2.99408783333333,"invested",0.133,8,2.31
"19931","1_37","1","37","old","high","8","midline","posterior","t300_500",3.88026625,"shot",0.1,4,4.06
"19936","1_37","1","37","old","high","9","right","posterior","t300_500",2.19379375,"shot",0.1,4,4.06
"19944","1_37","1","37","old","high","7","left","posterior","t300_500",1.2764075,"shot",0.1,4,4.06
"19981","1_38","1","38","old","high","9","right","posterior","t300_500",-6.30870566666667,"protected",0.29,9,2.74
"20004","1_38","1","38","old","high","8","midline","posterior","t300_500",-6.26456866666667,"protected",0.29,9,2.74
"20016","1_38","1","38","old","high","7","left","posterior","t300_500",-6.51111833333333,"protected",0.29,9,2.74
"20048","1_39","1","39","old","high","8","midline","posterior","t300_500",-3.22682,"saved",0.156,5,3.55
"20063","1_39","1","39","old","high","9","right","posterior","t300_500",-2.80425,"saved",0.156,5,3.55
"20082","1_39","1","39","old","high","7","left","posterior","t300_500",-4.847863,"saved",0.156,5,3.55
"20123","1_40","1","40","old","high","7","left","posterior","t300_500",6.23519833333333,"slain",0.7,5,1.97
